"bundleID","starter","maindishI","maindishII","side","dessert","avg_rating"
1,"Fried Chicken Tenders","BBQ Brisket","Sausage","Mac and Cheese","Peach Cobbler",5.81
2,"Fried Chicken Tenders","BBQ Brisket","Sausage","Mac and Cheese","Apple Pie a la Mode",8.93
3,"Fried Chicken Tenders","BBQ Brisket","Sausage","Mashed Potato","Peach Cobbler",6.2
4,"Fried Chicken Tenders","BBQ Brisket","Sausage","Mashed Potato","Apple Pie a la Mode",8.71
5,"Fried Chicken Tenders","BBQ Brisket","Sausage","French Fry Platter","Peach Cobbler",8.24
6,"Fried Chicken Tenders","BBQ Brisket","Sausage","French Fry Platter","Apple Pie a la Mode",9.77
7,"Fried Chicken Tenders","BBQ Brisket","Fajita","Mac and Cheese","Peach Cobbler",8.942
8,"Fried Chicken Tenders","BBQ Brisket","Fajita","Mac and Cheese","Apple Pie a la Mode",6.192
9,"Fried Chicken Tenders","BBQ Brisket","Fajita","Mashed Potato","Peach Cobbler",4.522
10,"Fried Chicken Tenders","BBQ Brisket","Fajita","Mashed Potato","Apple Pie a la Mode",7.032
11,"Fried Chicken Tenders","BBQ Brisket","Fajita","French Fry Platter","Peach Cobbler",6.262
12,"Fried Chicken Tenders","BBQ Brisket","Fajita","French Fry Platter","Apple Pie a la Mode",4.742
13,"Fried Chicken Tenders","BBQ Brisket","Beef Short Rib","Mac and Cheese","Peach Cobbler",7.04
14,"Fried Chicken Tenders","BBQ Brisket","Beef Short Rib","Mac and Cheese","Apple Pie a la Mode",5.87
15,"Fried Chicken Tenders","BBQ Brisket","Beef Short Rib","Mashed Potato","Peach Cobbler",4.78
16,"Fried Chicken Tenders","BBQ Brisket","Beef Short Rib","Mashed Potato","Apple Pie a la Mode",8.7
17,"Fried Chicken Tenders","BBQ Brisket","Beef Short Rib","French Fry Platter","Peach Cobbler",4.8
18,"Fried Chicken Tenders","BBQ Brisket","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",4.3
19,"Fried Chicken Tenders","BBQ Brisket","Steak Sampler","Mac and Cheese","Peach Cobbler",8.19
20,"Fried Chicken Tenders","BBQ Brisket","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",7.14
21,"Fried Chicken Tenders","BBQ Brisket","Steak Sampler","Mashed Potato","Peach Cobbler",8.08
22,"Fried Chicken Tenders","BBQ Brisket","Steak Sampler","Mashed Potato","Apple Pie a la Mode",7.5
23,"Fried Chicken Tenders","BBQ Brisket","Steak Sampler","French Fry Platter","Peach Cobbler",6.61
24,"Fried Chicken Tenders","BBQ Brisket","Steak Sampler","French Fry Platter","Apple Pie a la Mode",6.32
25,"Fried Chicken Tenders","Pulled Pork","Sausage","Mac and Cheese","Peach Cobbler",6.23
