"householdID","est_inc_USD","est_netw_USD","hhold_field","hhold_oldest","hhold_pax","hhold_youngest","homeState","hhold_car","stream_subs","primary"
23,59245,381931,"Govt",48,2,8,"New York","SUV",2,"0"
27,116628,457159,"Tech",51,5,21,"New Hampshire","SUV",3,"1"
36,65835,394803,"Services",50,4,13,"Vermont","Pickup",3,"0"
41,132483,429296,"Tech",54,2,11,"Massachusetts","SUV",3,"1"
44,83444,488210,"Education",51,7,12,"Maine","SUV",3,"0"
46,127343,484326,"Finance",51,2,14,"Ontario","SUV",3,"0"
48,72195,417710,"Finance",55,6,12,"New Hampshire","SUV",3,"0"
51,121400,514094,"Tech",51,2,13,"Maine","Sedan",0,"0"
53,127582,522192,"Finance",52,5,11,"New York","LuxurySedan",3,"0"
55,101269,464513,"Tech",51,5,12,"New Hampshire","SUV",3,"0"
97,71716,485721,"Govt",53,1,53,"Maine","LuxurySedan",3,"0"
104,115289,457325,"Finance",49,5,14,"Maine","Sedan",2,"0"
105,99885,509685,"Education",48,3,16,"Maine","Sedan",3,"0"
107,62945,392840,"Govt",51,1,51,"Maine","SUV",3,"0"
124,157624,619118,"Tech",58,3,14,"Maine","SUV",3,"0"
128,67734,452695,"Govt",53,4,18,"Maine","Sedan",3,"0"
134,116764,472436,"Manufacturing",56,10,10,"Maine","SUV",3,"1"
142,87269,407361,"Services",49,4,11,"New Hampshire","Sedan",2,"0"
149,80502,483216,"Education",51,7,11,"Maine","LuxurySedan",2,"0"
152,88549,386969,"Education",49,2,15,"Maine","SUV",2,"1"
154,118177,581616,"Services",50,4,16,"Quebec","SUV",3,"0"
156,75281,509920,"Govt",54,4,9,"Maine","Compact/Hybrid",2,"0"
175,75900,411676,"Tech",48,5,7,"New Hampshire","SUV",3,"1"
177,60820,470875,"Education",49,6,15,"New York","LuxurySedan",3,"0"
179,124552,497211,"Finance",55,4,7,"Rhode Island","Compact/Hybrid",1,"0"
188,107499,617534,"Services",52,3,12,"Ontario","SUV",2,"0"
191,155572,458737,"Finance",50,2,16,"Ontario","SUV",2,"0"
207,122104,550795,"Services",51,4,12,"Vermont","SUV",1,"0"
221,75278,529290,"Govt",49,6,10,"Rhode Island","SUV",0,"0"
222,100150,428751,"Tech",51,4,15,"Maine","Sedan",3,"0"
235,81090,535779,"Govt",56,6,6,"Maine","SUV",3,"0"
243,86884,361269,"Finance",51,6,13,"Maine","SUV",3,"1"
256,74130,350935,"Tech",51,4,9,"Maine","Sedan",3,"0"
264,112372,402132,"Finance",48,1,48,"Maine","SUV",3,"0"
