"recipient","pic_seen","site_duration","spend","register"
1,"Racers in Action",18.2,16.6,0
2,"Starting Line",28.61,15.3,0
3,"Sharp Turn",10.9,16.32,1
4,"Sharp Turn",11.3,22.62,0
5,"Racers in Action",19.7,17.3,0
6,"Racers in Action",20.3,17.1,0
7,"Starting Line",28.21,11.9,0
8,"Starting Line",22.01,15.2,0
9,"Starting Line",23.71,14.4,0
10,"Starting Line",25.51,15.1,1
11,"Racers in Action",22.9,16.8,1
12,"Sharp Turn",10.7,24.32,1
13,"Starting Line",29.41,12.6,0
14,"Racers in Action",21.6,15.6,1
15,"Racers in Action",19.1,16,0
16,"Starting Line",13.61,18,0
17,"Sharp Turn",11.9,20.82,1
18,"Starting Line",25.51,9.9,1
19,"Racers in Action",21.4,15.8,0
20,"Racers in Action",24,16.8,1
21,"Starting Line",19.31,12.1,1
22,"Sharp Turn",11.4,14.22,0
23,"Starting Line",17.01,12,0
24,"Racers in Action",20.4,16.8,1
25,"Starting Line",22.71,12.9,0
26,"Sharp Turn",11.6,16.42,1
27,"Starting Line",31.71,14.3,1
28,"Starting Line",24.11,15.4,0
29,"Racers in Action",19.8,16.8,1
30,"Sharp Turn",10.8,22.12,0
31,"Sharp Turn",10.8,19.12,0
32,"Starting Line",22.01,14.3,0
33,"Sharp Turn",10.5,15.32,1
34,"Racers in Action",23.4,17,0
35,"Starting Line",26.81,11,1
36,"Racers in Action",25.9,17.3,1
37,"Racers in Action",23.8,16.3,0
38,"Starting Line",22.51,9.9,0
39,"Racers in Action",18.2,15.3,1
40,"Racers in Action",21.8,16.7,1
41,"Racers in Action",24.3,17,0
42,"Sharp Turn",10.7,19.92,0
43,"Sharp Turn",11.2,19.72,0
44,"Sharp Turn",10.6,21.32,1
45,"Starting Line",21.11,14.7,1
46,"Sharp Turn",10.9,19.42,0
47,"Racers in Action",24.1,16.4,0
48,"Starting Line",23.01,16.3,1
49,"Starting Line",18.51,13,0
50,"Starting Line",26.41,10.7,0
51,"Sharp Turn",10.8,15.12,0
52,"Starting Line",25.51,15.1,1
53,"Racers in Action",21,18.1,0
54,"Sharp Turn",10.3,16.22,1
55,"Sharp Turn",10.5,19.72,0
56,"Sharp Turn",11.8,16.02,0
57,"Racers in Action",22.6,16.5,0
58,"Sharp Turn",11,19.32,0
59,"Sharp Turn",10.9,19.52,0
60,"Sharp Turn",11.2,18.82,0
61,"Racers in Action",21.2,17.8,0
62,"Starting Line",23.31,14.1,1
63,"Sharp Turn",11.7,22.12,1
64,"Starting Line",18.31,14.1,0
65,"Starting Line",29.21,11.6,0
66,"Racers in Action",21.6,17.4,0
67,"Racers in Action",21.7,16.6,0
68,"Starting Line",21.51,12.5,0
69,"Racers in Action",22.1,18,0
70,"Racers in Action",24.1,16.9,1
71,"Sharp Turn",11.3,19.22,0
72,"Racers in Action",22.7,17.1,0
73,"Starting Line",25.51,16.8,0
74,"Sharp Turn",11.2,17.12,0
75,"Sharp Turn",10.4,15.32,0
76,"Sharp Turn",10.2,18.12,0
77,"Starting Line",19.51,15.2,1
78,"Starting Line",17.61,12.6,1
79,"Starting Line",21.71,13.5,1
80,"Sharp Turn",11.5,18.92,0
81,"Racers in Action",21.9,17.6,1
82,"Racers in Action",20.5,15.1,0
83,"Racers in Action",20.9,17.5,0
84,"Starting Line",16.61,13.7,1
85,"Sharp Turn",10.3,17.62,0
86,"Sharp Turn",11.4,20.42,0
87,"Sharp Turn",11.7,20.12,0
88,"Starting Line",27.01,15.1,0
89,"Starting Line",19.51,9,1
90,"Starting Line",32.11,14,1
91,"Starting Line",25.11,16.9,0
92,"Racers in Action",22.9,16.8,1
93,"Racers in Action",19.7,16,1
94,"Sharp Turn",10.6,15.62,1
95,"Sharp Turn",10.4,19.72,0
96,"Racers in Action",20.5,15.6,0
97,"Racers in Action",22.3,16.1,0
98,"Racers in Action",22.1,15.3,0
99,"Sharp Turn",12.1,17.42,0
100,"Racers in Action",21.8,17.2,1
101,"Starting Line",20.91,10.3,1
102,"Sharp Turn",10.6,20.02,0
103,"Sharp Turn",10.8,19.32,0
104,"Starting Line",24.91,10.6,0
105,"Racers in Action",22.6,16.6,1
106,"Starting Line",23.51,14.7,0
107,"Starting Line",23.41,14.3,0
108,"Starting Line",20.91,14.6,0
109,"Starting Line",25.41,11.3,0
110,"Sharp Turn",11.4,19.62,0
111,"Starting Line",24.61,14.9,0
112,"Sharp Turn",10,17.62,1
113,"Racers in Action",21.4,17.6,1
114,"Sharp Turn",11.1,20.32,0
115,"Racers in Action",22.1,17.2,0
116,"Starting Line",25.81,11.7,0
117,"Sharp Turn",11,19.62,1
118,"Sharp Turn",10.4,19.22,0
119,"Starting Line",24.01,14.8,1
120,"Sharp Turn",10.4,16.12,0
121,"Starting Line",23.21,13.9,0
122,"Starting Line",21.11,13.6,0
123,"Racers in Action",20.3,16.7,0
124,"Starting Line",25.41,14.3,0
125,"Sharp Turn",10.6,17.82,0
126,"Sharp Turn",10.5,17.82,0
127,"Racers in Action",22.3,15.6,1
128,"Sharp Turn",11.1,18.82,0
129,"Sharp Turn",11.8,16.82,0
130,"Starting Line",25.71,12.1,0
131,"Starting Line",30.81,13,1
132,"Sharp Turn",10.3,16.52,0
133,"Racers in Action",21,17,1
134,"Racers in Action",21.3,17.1,0
135,"Sharp Turn",11.2,14.72,1
136,"Racers in Action",26.3,16.6,0
137,"Racers in Action",25,17.6,0
138,"Sharp Turn",10.9,17.52,1
139,"Sharp Turn",11.7,21.22,1
140,"Racers in Action",27.8,16.7,1
141,"Racers in Action",22,17.3,1
142,"Starting Line",23.91,14.2,1
143,"Starting Line",22.71,14.6,1
144,"Starting Line",27.71,14.9,1
145,"Racers in Action",21.6,16.8,0
146,"Starting Line",21.31,15.1,0
147,"Starting Line",25.91,11.9,1
148,"Starting Line",30.61,13.7,0
149,"Starting Line",30.01,14.8,0
150,"Sharp Turn",11.1,18.52,0
151,"Starting Line",17.81,20.8,1
152,"Racers in Action",23.3,16,1
153,"Racers in Action",22.5,16.7,0
154,"Starting Line",28.41,15.9,0
155,"Starting Line",20.31,13.4,0
156,"Racers in Action",20.8,17.6,1
157,"Starting Line",22.91,14.7,0
158,"Sharp Turn",10.8,19.32,0
159,"Starting Line",15.81,15.5,0
160,"Sharp Turn",11.2,12.42,1
161,"Racers in Action",24.6,15.6,1
